,case_id,A_Create Application,A_Submitted,W_Handle leads,W_Complete application,A_Concept,A_Accepted,O_Create Offer,O_Created,O_Sent (mail and online),W_Call after offers,A_Complete,W_Validate application,A_Validating,O_Returned,W_Call incomplete files,A_Incomplete,O_Accepted,A_Pending,A_Denied,O_Refused,O_Cancelled,A_Cancelled,O_Sent (online only),W_Assess potential fraud,W_Personal Loan collection,W_Shortened completion ,time
0,Application_652823628,1,1,2,4,1,1,1,1,1,6,1,8,2,1,6,1,1,1,0,0,0,0,0,0,0,0,317.9655886111111
1,Application_1691306052,1,1,2,5,1,1,1,1,1,6,1,7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,147.2272847222222
2,Application_428409768,1,1,2,3,1,1,2,2,2,6,1,8,2,1,8,1,1,1,0,0,1,0,0,0,0,0,307.6767475
3,Application_1746793196,1,1,3,13,1,1,2,2,2,8,1,26,3,1,14,2,1,1,0,0,1,0,0,0,0,0,647.7326097222223
4,Application_828200680,1,1,2,3,1,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,762.0045802777778
5,Application_1085880569,1,1,2,5,1,1,2,2,2,6,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1409.924711111111
6,Application_1266995739,1,1,2,10,1,1,1,1,1,6,1,4,1,1,16,1,0,0,0,0,1,1,0,0,0,0,194.44261694444444
7,Application_1878239836,1,1,2,5,1,1,1,1,1,6,1,7,1,1,0,0,0,0,1,1,0,0,0,0,0,0,235.92405194444444
8,Application_619403287,1,1,2,3,1,1,1,1,1,6,1,4,1,1,6,1,1,1,0,0,0,0,0,0,0,0,497.837455
9,Application_1710223761,1,1,2,4,1,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,760.6203975
10,Application_1529124572,1,1,2,5,1,1,1,1,1,6,1,8,2,1,8,1,1,1,0,0,0,0,0,0,0,0,618.7172955555556
11,Application_387012864,1,1,2,3,1,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,759.0098980555556
12,Application_1120819670,1,1,2,2,1,1,1,1,1,6,1,11,2,1,6,1,1,1,0,0,0,0,0,0,0,0,233.32124472222222
13,Application_42838382,1,1,2,7,1,1,3,3,3,6,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1406.0371305555557
14,Application_180547487,1,1,2,3,1,1,1,1,1,6,1,20,3,1,12,2,1,1,0,0,0,0,0,0,0,0,259.8758161111111
15,Application_1966208034,1,1,2,7,1,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,757.8920194444444
16,Application_1806387393,1,1,3,6,1,1,1,1,1,6,1,11,1,1,0,0,0,0,1,1,0,0,0,0,0,0,235.35358777777776
17,Application_1111870538,1,1,2,7,1,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,158.77315666666664
18,Application_1017492916,1,1,2,4,1,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,755.6955013888889
19,Application_2082119944,1,1,2,3,1,1,1,1,1,6,1,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,305.39403583333336
20,Application_758985626,1,1,2,6,1,1,1,1,1,6,1,6,1,1,8,1,1,1,0,0,0,0,0,0,0,0,1236.8345955555556
21,Application_1018615109,1,1,2,3,1,1,2,2,2,6,1,4,1,1,6,1,1,1,0,0,1,0,0,0,0,0,489.9674588888889
22,Application_319587802,1,1,3,11,1,1,3,3,3,6,1,7,1,1,0,0,0,0,1,3,0,0,0,0,0,0,561.0757261111111
23,Application_1846626914,1,1,2,7,1,1,1,1,1,6,1,4,1,1,6,1,1,1,0,0,0,0,0,0,0,0,267.51635
24,Application_546206358,1,1,2,3,1,1,1,1,1,6,1,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,216.70877555555552
25,Application_196483749,1,0,0,3,1,1,4,4,3,6,1,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,1389.8160533333335
26,Application_1363980603,1,1,2,6,1,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,124.13341916666667
27,Application_1553362978,1,1,2,4,1,1,3,3,3,6,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1389.5673930555556
28,Application_1197857445,1,1,3,12,1,1,2,2,2,6,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1341.7132911111112
29,Application_931862671,1,1,2,5,1,1,3,3,3,6,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,729.0478222222223
30,Application_2012588584,1,0,0,3,1,1,2,2,2,6,1,18,2,1,6,1,1,1,0,0,1,0,0,0,0,0,599.5095552777778
31,Application_1825972191,1,1,2,4,1,1,3,3,2,8,1,17,3,1,9,2,1,1,0,0,2,0,1,0,0,0,1108.7189483333334
32,Application_1059184025,1,0,0,4,1,1,3,3,2,6,1,7,2,1,4,1,1,1,0,0,2,0,0,0,0,0,148.9286875
33,Application_1395142997,1,1,2,6,1,1,1,1,1,8,1,9,1,1,0,0,1,1,0,0,0,0,0,0,0,0,312.57824999999997
34,Application_2015287405,1,1,2,4,1,1,2,2,2,6,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1387.5718391666667
35,Application_1193723578,1,1,2,5,1,1,2,2,2,6,1,10,2,1,6,1,0,0,1,2,0,0,0,0,0,0,291.7361219444445
36,Application_2049529862,1,1,2,6,1,1,1,1,1,6,1,12,3,1,14,2,1,1,0,0,0,0,0,0,0,0,384.67382249999997
37,Application_1699757505,1,1,2,5,1,1,3,3,2,6,1,8,2,1,8,1,1,1,0,0,2,0,1,0,0,0,238.8499216666667
38,Application_493034835,1,0,0,3,1,1,1,1,1,6,1,7,1,1,0,0,1,1,0,0,0,0,0,0,0,0,239.81830833333333
39,Application_842511489,1,0,0,6,1,1,1,1,1,6,1,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,214.0052047222222
40,Application_1474017032,1,0,0,6,1,1,2,2,2,6,1,14,2,1,10,1,1,1,0,0,1,0,0,0,0,0,307.87189333333333
41,Application_1397856354,1,0,0,5,1,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,786.0993413888889
42,Application_767475240,1,0,0,7,1,1,6,6,3,4,1,13,3,2,12,2,1,1,0,0,5,0,2,0,0,0,715.1240336111111
43,Application_980495316,1,0,0,14,1,1,1,1,1,6,1,12,2,1,6,1,1,1,0,0,0,0,0,0,0,0,647.2838430555555
44,Application_2035768049,1,0,0,7,1,1,1,1,1,6,1,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,312.9504797222222
45,Application_1307111345,1,0,0,6,1,1,1,1,1,6,1,10,2,1,6,1,1,1,0,0,0,0,0,0,0,0,307.08453972222225
46,Application_821425679,1,0,0,6,1,1,1,1,1,4,1,8,2,1,6,1,1,1,0,0,0,0,0,0,0,0,217.67357638888888
47,Application_1294530310,1,0,0,3,1,1,1,1,1,6,1,4,1,1,6,1,1,1,0,0,0,0,0,0,0,0,473.2036741666667
48,Application_470922426,1,0,0,6,1,1,1,1,1,6,1,15,1,1,0,0,1,1,0,0,0,0,0,0,0,0,479.0510433333333
49,Application_1461440233,1,1,2,5,1,1,2,2,2,6,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1384.2035158333333
50,Application_857715587,1,0,0,3,1,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,736.0139427777779
