,case_id,A_SUBMITTED,A_PARTLYSUBMITTED,A_PREACCEPTED,W_Completeren aanvraag,A_ACCEPTED,O_SELECTED,A_FINALIZED,O_CREATED,O_SENT,W_Nabellen offertes,O_SENT_BACK,W_Valideren aanvraag,A_REGISTERED,A_APPROVED,O_ACCEPTED,A_ACTIVATED,O_CANCELLED,W_Wijzigen contractgegevens,A_DECLINED,A_CANCELLED,W_Afhandelen leads,O_DECLINED,W_Nabellen incomplete dossiers,W_Beoordelen fraude,time
0,173688,1,1,1,3,1,1,1,1,1,7,1,3,1,1,1,1,0,0,0,0,0,0,0,0,297.9812444444444
1,173691,1,1,1,5,1,2,1,2,2,10,1,7,1,1,1,1,1,0,0,0,0,0,0,0,222.14343805555555
2,173694,1,1,1,9,1,3,1,3,3,25,1,3,1,1,1,1,2,1,0,0,0,0,0,0,3293.315558888889
3,173697,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.010431666666666667
4,173700,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.01142861111111111
5,173703,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.279653055555556
6,173706,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,5.240350833333333
7,173709,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,744.2903869444445
8,173712,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,52.74029194444445
9,173715,1,1,1,5,1,1,1,1,1,5,1,3,0,0,0,0,0,0,1,0,0,1,0,0,289.1048836111111
10,173718,1,1,1,3,1,2,1,2,2,14,1,9,1,1,1,1,1,0,0,0,0,0,34,0,622.672896388889
11,173721,1,1,1,3,1,1,1,1,1,9,1,3,0,0,0,0,0,0,1,0,0,1,9,0,221.3487886111111
12,173724,1,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,51.93505555555556
13,173727,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.01213861111111111
14,173730,1,1,1,9,1,1,1,1,1,17,1,16,1,1,1,1,0,0,0,0,0,0,21,0,476.53682444444445
15,173733,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2.2561969444444445
16,173736,1,1,1,7,1,3,1,3,3,6,2,6,1,1,1,1,2,0,0,0,0,0,14,0,406.99416583333334
17,173739,1,1,1,7,1,1,1,1,1,7,1,8,1,1,1,1,0,0,0,0,0,0,13,0,315.1658308333333
18,173742,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,314.13236555555557
19,173745,1,1,1,3,1,1,1,1,1,3,0,0,0,0,0,0,1,0,0,1,3,0,0,0,166.62877166666667
20,173748,1,1,1,11,1,2,1,2,2,10,0,0,0,0,0,0,1,0,1,0,3,1,0,0,50.58554472222223
21,173751,1,1,1,5,1,1,1,1,1,3,1,3,1,1,1,1,0,0,0,0,0,0,0,0,236.4161855555556
22,173754,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,311.6422488888889
23,173757,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.010441111111111113
24,173760,1,1,1,3,1,1,1,1,1,7,1,3,1,1,1,1,0,0,0,0,0,0,0,0,312.4315941666667
25,173763,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.4891747222222222
26,173766,1,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,124.66941666666666
27,173769,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.010138611111111112
28,173772,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.009799166666666666
29,173775,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41.65123416666667
30,173778,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,39.25735111111111
31,173781,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39.24384666666666
32,173784,1,1,1,17,1,1,1,1,1,9,1,18,1,1,1,1,0,0,0,0,0,0,51,0,1074.7444316666667
33,173787,1,1,1,3,1,2,1,2,2,18,0,0,0,0,0,0,2,0,0,1,0,0,0,0,431.7654194444445
34,173790,1,1,1,3,1,1,1,1,1,7,1,5,1,1,1,1,0,0,0,0,0,0,0,0,211.1411427777778
35,173793,1,1,1,5,1,1,1,1,1,7,1,8,1,1,1,1,0,0,0,0,0,0,3,0,399.8737458333334
36,173796,1,1,1,5,1,1,1,1,1,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,213.0790025
37,173799,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,70.04877861111112
38,173802,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,36.53312166666667
39,173805,1,1,1,5,1,1,1,1,1,26,0,0,0,0,0,0,1,0,0,1,0,0,0,0,781.1227233333334
40,173808,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0113475
41,173811,1,1,1,5,1,1,1,1,1,30,0,0,0,0,0,0,1,0,0,1,3,0,0,0,779.2655797222221
42,173814,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,36.235037222222225
43,173817,1,1,1,3,1,2,1,2,2,8,1,3,0,0,0,0,1,0,1,0,0,1,0,0,224.30542944444446
44,173820,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.012016111111111113
45,173823,1,1,1,3,1,1,1,1,1,5,1,5,0,0,0,0,0,0,1,0,0,1,0,0,264.2153847222222
46,173826,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,29.004882777777777
