features,dim,score
['cost Emit invoice'],0,-2.6536445512290507e-06
['cost Get shipping address'],0,-2.6536445512290507e-06
['cost Manufacture product'],0,-5.486905496798124e-06
['cost Obtain raw materials from Supplier 1'],0,-8.033574385370265e-06
['cost Obtain raw materials from Supplier 2'],0,-8.1952459076133e-06
['cost Receive Payment'],0,-2.6536445512290507e-06
['cost Request raw materials from Supplier 1'],0,-2.6536445512290507e-06
['cost Request raw materials from Supplier 2'],0,-2.6536445512290507e-06
['cost Retrieve product from warehouse'],0,-0.0017561567283580124
['cost Ship product'],0,-9.486641410252097e-06
['Num of Archive order'],0,-2.653644551229042e-06
['Num of Check raw materials availability'],0,-0.0017487735838756916
['Num of Confirm order'],0,-0.002182381077480408
['Num of Emit invoice'],0,-2.653644551229042e-06
['Num of Get shipping address'],0,-2.653644551229042e-06
['Num of Manufacture product'],0,-2.653644551229042e-06
['Num of Notify unavailability to customer'],0,-0.002182381077480408
['Num of Obtain raw materials from Supplier 1'],0,-2.653644551229042e-06
['Num of Obtain raw materials from Supplier 2'],0,-2.653644551229042e-06
['Num of Receive Payment'],0,-2.653644551229042e-06
['Num of Request raw materials from Supplier 1'],0,-2.653644551229042e-06
['Num of Request raw materials from Supplier 2'],0,-2.653644551229042e-06
['Num of Retrieve product from warehouse'],0,-0.0017487735838756916
['Num of Ship product'],0,-2.653644551229042e-06
"['Num of Archive order', 'cost Emit invoice']",1,-2.6582240646320067e-06
"['Num of Archive order', 'cost Get shipping address']",1,-2.6582240646320067e-06
"['Num of Archive order', 'cost Manufacture product']",1,-1.953930907545578e-06
"['Num of Archive order', 'cost Obtain raw materials from Supplier 1']",1,-2.569728515139637e-06
"['Num of Archive order', 'cost Obtain raw materials from Supplier 2']",1,-2.4473422342927256e-06
"['Num of Archive order', 'cost Receive Payment']",1,-2.6582240646320067e-06
"['Num of Archive order', 'cost Request raw materials from Supplier 1']",1,-2.6582240646320067e-06
"['Num of Archive order', 'cost Request raw materials from Supplier 2']",1,-2.6582240646320067e-06
"['Num of Archive order', 'cost Retrieve product from warehouse']",1,-2.64397044876498e-06
"['Num of Archive order', 'cost Ship product']",1,-2.6696392004850726e-06
"['Num of Archive order', 'Num of Check raw materials availability']",1,-2.654120545552401e-06
"['Num of Archive order', 'Num of Confirm order']",1,-2.6541205455524027e-06
"['Num of Archive order', 'Num of Emit invoice']",1,-2.654683736764972e-06
"['Num of Archive order', 'Num of Get shipping address']",1,-2.654683736764972e-06
"['Num of Archive order', 'Num of Manufacture product']",1,-2.654683736764972e-06
"['Num of Archive order', 'Num of Notify unavailability to customer']",1,-2.6541205455524027e-06
"['Num of Archive order', 'Num of Obtain raw materials from Supplier 1']",1,-2.654683736764972e-06
"['Num of Archive order', 'Num of Obtain raw materials from Supplier 2']",1,-2.654683736764972e-06
"['Num of Archive order', 'Num of Receive Payment']",1,-2.654683736764972e-06
"['Num of Archive order', 'Num of Request raw materials from Supplier 1']",1,-2.654683736764972e-06
"['Num of Archive order', 'Num of Request raw materials from Supplier 2']",1,-2.654683736764972e-06
"['Num of Archive order', 'Num of Retrieve product from warehouse']",1,-2.654120545552402e-06
